Nummer	J	K	nu_theo	nu_gemessen	Amplitude
39	8	8	26.519	26.523	7.75
38	7	7	25.715	25.714	11.1
37	12	11	25.694	25.699	2.0
36	6	6	25.056	25.061	19.7
35	11	10	24.883	24.859	1.98
34	5	5	24.533	24.538	14.5
33	10	9	24.208	24.206	6.14
32	4	4	24.139	24.140	15.1
31	3	3	23.870	23.877	20.0
30	2	2	23.723	23.730	9.7
29	1	1	23.694	23.700	9.15
28	9	8	23.660	23.662	4.6
27	8	7	23.235	23.239	4.95
26	2	1	23.099	23.110	3.6
25	7	6	22.927	22.929	8.6
24	3	2	22.835	22.835	5.7
23	6	5	22.734	22.735	6.0
22	4	3	22.687	22.695	14.7
21	5	4	22.654	22.660	10.2
20	3	1	22.235	22.240	2.7
19	4	2	21.704	22.703	3.35
18	5	3	21.293	21.290	4.70
17	4	1	21.134	21.140	2.7
16	11	9	21.076	21.076	0.3
15	6	4	20.996	20.999	1.6
14	10	8	20.857	20.855	0.255
13	7	5	20.806	20.809	1.38
12	9	7	20.739	20.739	0.83
11	8	6	20.722	20.721	2.4
10	5	2	20.371	20.378	1.3
9	5	1	19.836	19.842	0.1
8	6	3	19.735	19.764	1.4
7	7	4	19.216	19.225	0.21
6	6	2	18.879	18.891	0.31
5	8	5	18.819	18.819	0.45
4	9	6	18.495	18.509	0.41
3	6	1	18.382	18.395	0.09
2	10	7	18.282	18.294	0.1
1	7	3	18.058	18.028	0.22
